record_id,client_name,start_date,end_date,monthly_fee,currency,retainer_status
B1001,Acme Inc.,2026-05-22,2026-08-20,7500,USD,active
B1002,NIKE,2026-06-03,2026-09-01,4500,EUR,Active
B1003,GlowSkin Ltd.,2026-06-06,2026-09-04,6000,USD,Active
B1004,Adidas,2026-06-09,,9500,USD,Current
B1005,BLUE BOTTLE CO.,2026-06-13,2026-09-13,3500,USD,Current
B1006,NORTHSTAR,2026-06-20,2026-09-20,5000,USD,ACTIVE
B1007,River & Reed Ltd,2026-06-29,2026-09-27,9500,USD,ACTIVE
B1008,EVERLANE,2026-07-03,2026-10-03,3500,EUR,Active
B1009,Sun and Soil,2026-07-16,2026-10-14,7500,GBP,active
B1010,PeakCoffee,2026-07-15,2026-10-13,3500,USD,ACTIVE
B1011,Urban Pet Ltd.,2026-07-10,2026-10-09,4500,EUR,ACTIVE
B1012,LUNA HOME,2026-06-30,2026-09-30,5000,GBP,ACTIVE
B1013,Marlow LLC,2026-07-29,,4500,USD,active
B1014,Northwind Ltd,2026-08-12,2026-11-13,9500,GBP,active
B1015,KindredGoods,2026-08-28,2026-11-28,3500,USD,Active
B1016,Oak and Pine,2026-09-26,2026-12-28,7500,USD,active
B1017,Velora,2026-10-27,2027-01-27,6000,EUR,Current
B1018,BrightLeaf,2026-12-15,2027-03-18,5000,GBP,active
B1019,Summit Supply Co.,2026-06-11,2026-09-11,9500,EUR,ACTIVE
B1020,Cedar & Coast,2026-06-25,2026-09-24,12000,USD,Active
B1021,Mosaic Inc.,2026-07-07,2026-10-06,5000,EUR,Active
B1022,DRIFTWOOD,2026-07-16,2026-10-17,12000,GBP,Active
B1023,Aster Inc.,2026-08-10,2026-11-08,7500,GBP,Active
B1024,GOOD DAY COMPANY,2026-09-06,2026-12-08,5000,EUR,Active
B1025,WildFern,2026-05-25,2026-08-25,5000,USD,ACTIVE
B1026,Field Stone,2026-06-03,2026-09-02,5000,GBP,active
B1027,Hearth Co,2026-06-20,2026-09-18,8000,EUR,Active
B1028,Kite & Kin,2026-07-02,2026-10-02,7500,USD,Active
B1029,Modern Pantry Inc.,2026-07-14,2026-10-12,4500,EUR,Active
B1030,Orchid Ltd,2026-07-17,,5000,EUR,active
B1031,Pine and Peak,2026-08-02,2026-11-03,6000,USD,ACTIVE
B1032,SOLACE,2026-08-18,2026-11-18,12000,EUR,Active
B1033,Juniper Lane Co.,2026-09-18,2026-12-18,4500,GBP,Active
B1034,Fable Inc.,2026-11-07,2027-02-06,6000,USD,Active
B1035,HARBOR & HOME,2027-01-07,2027-04-07,6000,USD,Active
B1036,LUMEN,2026-06-17,2026-09-15,6000,GBP,Current
B1037,True North Ltd.,2026-06-27,2026-09-26,12000,USD,Current
B1038,Craft and Common LLC,2026-07-09,2026-10-08,4500,USD,Current
B1039,EMBER,2026-07-14,2026-10-15,9500,EUR,Active
B1040,VistaMarket,2026-09-04,2026-12-03,3500,EUR,ACTIVE
B1041,Acme Incorporated,2026-03-13,2026-06-13,5000,USD,Expired
B1042,Glow Skin Limited,2026-01-22,2026-08-22,6000,USD,Expired
B1043,"Nike, Incorporated",2026-04-02,2026-09-17,8500,USD,Current
B1044,BlueBottle,2026-05-30,2026-10-29,4500,USD,Active
B1045,RIVER & REED,2025-11-03,2026-08-25,7000,USD,Expired
B1046,North Star Company,2026-05-27,2026-10-01,5500,USD,Current
B1047,Mosaic Ltd,2026-05-22,2026-10-13,6500,GBP,Active
B1048,Harbour and Home,2026-05-27,2026-11-13,5000,USD,Current
B1049,EVERLANE,2026-05-02,2026-09-01,7000,USD,Active
B1050,LunaHome,2026-02-26,2026-10-15,4000,EUR,Current
B1051,Oak and Pine,2026-02-11,2026-11-28,4800,USD,Active
B1052,TrueNorth,2026-05-22,2026-10-14,5200,USD,Current
B1053,SUN & SOIL,2025-12-23,2026-08-28,4300,USD,Expired
B1054,PeakCoffee,2026-05-27,2026-09-13,6100,USD,active
B1055,VELORA,2026-05-26,2026-11-13,8200,GBP,Current
B1056,Fable Inc.,2026-05-12,2026-09-04,5400,USD,ACTIVE
B1057,Craft and Common LLC,2026-05-30,2026-10-03,5900,USD,Current
B1058,EMBER,2026-05-30,2026-10-29,3700,USD,Active
B1059,VistaMarket,2026-05-27,2026-09-20,6800,USD,Current
B1060,JuniperLane,2026-05-27,2027-01-27,4600,EUR,Active
